Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
163,402.000000,277.182667,84,24.206667,401.000000
164,402.000000,277.770667,84,24.320000,401.000000
165,402.000000,273.220000,84,24.313333,401.000000
166,402.000000,287.853333,84,24.426667,401.000000
167,402.000000,267.609333,84,24.260000,401.000000
168,402.000000,280.628000,85,24.300000,401.000000
169,402.000000,278.845333,85,24.366667,401.000000
170,402.000000,278.369333,85,24.246667,401.000000
171,402.000000,276.429333,85,24.373333,401.000000
172,402.000000,268.716000,85,24.600000,401.000000
173,402.000000,278.334667,85,24.313333,401.000000
174,402.000000,277.296000,85,24.440000,401.000000
175,402.000000,281.845333,85,24.420000,401.000000
176,402.000000,285.994667,85,24.286667,401.000000
177,402.000000,256.821333,85,24.226667,401.000000
178,402.000000,275.228000,85,24.280000,401.000000
179,402.000000,273.738667,85,24.266667,401.000000
180,402.000000,274.406667,85,24.393333,401.000000
181,402.000000,278.194667,85,24.406667,401.000000
182,402.000000,290.226667,85,24.500000,401.000000
183,402.000000,286.336000,86,24.326667,401.000000
184,402.000000,286.658667,86,24.560000,401.000000
185,402.000000,270.956000,87,24.573333,401.000000
186,402.000000,276.068000,87,24.186667,401.000000
187,402.000000,294.884000,87,24.306667,401.000000
188,402.000000,264.602667,87,24.473333,401.000000
189,402.000000,278.420000,87,24.513333,401.000000
190,402.000000,273.978667,87,24.460000,401.000000
191,402.000000,295.290667,88,24.506667,401.000000
192,402.000000,279.880000,88,24.793333,401.000000
193,402.000000,277.813333,89,24.533333,401.000000
194,402.000000,288.241333,89,24.900000,401.000000
195,402.000000,275.574667,89,24.873333,401.000000
196,402.000000,275.984000,89,24.766667,401.000000
197,402.000000,298.350667,89,24.793333,401.000000
198,402.000000,281.702667,89,24.820000,401.000000
199,402.000000,284.398667,89,24.380000,401.000000
200,402.000000,284.270667,89,25.160000,401.000000
201,402.000000,276.272000,89,24.926667,401.000000
202,402.000000,278.232000,89,24.466667,401.000000
203,402.000000,274.961333,90,25.060000,401.000000
204,402.000000,297.286667,90,24.866667,401.000000
205,402.000000,297.082667,90,24.620000,401.000000
206,402.000000,291.825333,90,24.780000,401.000000
207,402.000000,276.736000,90,25.086667,401.000000
208,402.000000,278.914667,92,24.740000,401.000000
209,402.000000,293.132000,92,24.800000,401.000000
210,402.000000,282.674667,92,24.773333,401.000000
211,402.000000,295.512000,92,24.760000,401.000000
212,402.000000,280.044000,92,25.146667,401.000000
213,402.000000,285.836000,92,24.786667,401.000000
214,402.000000,273.805333,92,24.893333,401.000000
215,402.000000,296.876000,92,24.906667,401.000000
216,402.000000,287.513333,92,24.886667,401.000000
217,402.000000,285.309333,92,25.100000,401.000000
218,402.000000,279.820000,92,25.073333,401.000000
219,402.000000,289.102667,92,25.053333,401.000000
220,402.000000,294.790667,93,25.133333,401.000000
221,402.000000,294.538667,93,25.113333,401.000000
222,402.000000,292.778667,94,24.940000,401.000000
223,402.000000,289.800000,94,25.253333,401.000000
224,402.000000,296.744000,94,25.093333,401.000000
225,402.000000,285.268000,94,25.060000,401.000000
226,402.000000,281.886667,94,24.913333,401.000000
227,402.000000,300.646667,94,24.826667,401.000000
228,402.000000,280.009333,94,25.013333,401.000000
229,402.000000,304.906667,94,25.160000,401.000000
